Basis	Haus 1	Haus 2	Haus 3		Haus 4		Haus 5		Haus 6
1		101		801		1501		1508		815			108
2		102		701		1401		1507		914			209
3		103		601		1301		1506		1013		310
4		104		501		1201		1505		1112		411
5		105		401		1101		1504		1211		512
6		106		301		101			1503		1310		613
7		107		201		901			1502		1409		714
8		108		101		801			1501		1508		815
9		201		901		1502		1409		714			107
10		202		802		1402		1408		814			208
11		203		702		1302		1407		913			309
12		204		602		1202		1406		1012		410
13		205		502		1102		1405		1111		511
14		206		402		1002		1404		1210		612
15		207		302		902			1403		1309		713
16		208		202		802			1402		1408		814
17		209		102		701			1401		1507		914
18		301		1001	1503		1310		613			106
19		302		902		1403		1309		713			207
20		303		803		1303		1308		813			308
21		304		703		1203		1307		912			409
22		305		603		1103		1306		1011		510
23		306		503		1003		1305		1110		611
24		307		403		903			1304		1209		712
25		308		303		803			1303		1308		813
26		309		203		702			1302		1407		913
27		310		103		601			1301		1506		1013
28		401		1101	1504		1211		512			105
29		402		1002	1404		1210		612			206
30		403		903		1304		1209		712			307
31		404		804		1204		1208		812			408
32		405		704		1104		1207		911			509
33		406		604		1004		1206		1010		610
34		407		504		904			1205		1109		711
35		408		404		804			1204		1208		812
36		409		304		703			1203		1307		912
37		410		204		602			1202		1406		1012
38		411		104		501			1201		1505		1112
39		501		1201	1505		1112		411			104
40		502		1102	1405		1111		511			205
41		503		1003	1305		1110		611			306
42		504		904		1205		1109		711			407
43		505		805		1105		1108		811			508
44		506		705		1005		1107		910			609
45		507		605		905			1106		1009		710
46		508		505		805			1105		1108		811
47		509		405		704			1104		1207		911
48		510		305		603			1103		1306		1011
49		511		205		502			1102		1405		1111
50		512		105		401			1101		1504		1211
51		601		1301	1506		1013		310			103
52		602		1202	1406		1012		410			204
53		603		1103	1306		1011		510			305
54		604		1004	1206		1010		610			406
55		605		905		1106		1009		710			507
56		606		806		1006		1008		810			608
57		607		706		906			1007		909			709
58		608		606		806			1006		1008		810
59		609		506		705			1005		1107		910
60		610		406		604			1004		1206		1010
61		611		306		503			1003		1305		1110
62		612		206		402			1002		1404		1210
63		613		106		301			1001		1503		1310
64		701		1401	1507		914			209			102
65		702		1302	1407		913			309			203
66		703		1203	1307		912			409			304
67		704		1104	1207		911			509			405
68		705		1005	1107		910			609			506
69		706		906		107			909			709			607
70		707		807		907			908			809			708
71		708		707		807			907			908			809
72		709		607		706			906			1007		909
73		710		507		605			905			1106		1009
74		711		407		504			904			1205		1109
75		712		307		403			903			1304		1209
76		713		207		302			902			1403		1309
77		714		107		201			901			1502		1409
78		801		1501	1508		815			108			101
79		802		1402	1408		814			208			202
80		803		1303	1308		813			308			303
81		804		1204	1208		812			408			404
82		805		1105	1108		811			508			505
83		806		1006	1008		810			608			606
84		807		907		908			809			708			707
85		808		808		808			808			808			808
86		809		708		707			807			907			908
87		810		608		606			806			1006		1008
88		811		508		505			805			1105		1108
89		812		408		404			804			1204		1208
90		813		308		303			803			1303		1308
91		814		208		202			802			1402		1408
92		815		108		101			801			1501		1508
93		901		1502	1409		714			107			201
94		902		1403	1309		713			207			302
95		903		1304	1209		712			307			403
96		904		1205	1109		711			407			504
97		905		1106	1009		710			507			605
98		906		1007	909			709			607			706
99		907		908		809			708			707			807
100		908		809		708			707			807			907
101		909		709		607			706			906			107
102		910		609		506			705			1005		1107
103		911		509		405			704			1104		1207
104		912		409		304			703			1203		1307
105		913		309		203			702			1302		1407
106		914		209		102			701			1401		1507
107		1001	1503	1310		613			106			301
108		1002	1404	1210		612			206			402
109		1003	1305	1110		611			306			503
110		1004	1206	1010		610			406			604
111		1005	1107	910			609			506			705
112		1006	1008	810			608			606			806
113		1007	909		709			607			706			906
114		1008	810		608			606			806			1006
115		1009	710		507			605			905			1106
116		1010	610		406			604			1004		1206
117		1011	510		305			603			1103		1306
118		1012	410		204			602			1202		1406
119		1013	310		103			601			1301		1506
120		1101	1504	1211		512			105			401
121		1102	1405	1111		511			205			502
122		1103	1306	1011		510			305			603
123		1104	1207	911			509			405			704
124		1105	1108	811			508			505			805
125		1106	1009	710			507			605			905
126		1107	910		609			506			705			1005
127		1108	811		508			505			805			1105
128		1109	711		407			504			904			1205
129		1110	611		306			503			1003		1305
130		1111	511		205			502			1102		1405
131		1112	411		104			501			1201		1505
132		1201	1505	1112		411			104			501
133		1202	1406	1012		410			204			602
134		1203	1307	912			409			304			703
135		1204	1208	812			408			404			804
136		1205	1109	711			407			504			904
137		1206	1010	610			406			604			1004
138		1207	911		509			405			704			1104
139		1208	812		408			404			804			1204
140		1209	712		307			403			903			1304
141		1210	612		206			402			1002		1404
142		1211	512		105			401			1101		1504
143		1301	1506	1013		310			103			601
144		1302	1407	913			309			203			702
145		1303	1308	813			308			303			803
146		1304	1209	712			307			403			903
147		1305	1110	611			306			503			1003
148		1306	1011	510			305			603			1103
149		1307	912		409			304			703			1203
150		1308	813		308			303			803			1303
151		1309	713		207			302			902			1403
152		1310	613		106			301			1001		1503
153		1401	1507	914			209			102			701
154		1402	1408	814			208			202			802
155		1403	1309	713			207			302			902
156		1404	1210	612			206			402			1002
157		1405	1111	511			205			502			1102
158		1406	1012	410			204			602			1202
159		1407	913		309			203			702			1302
160		1408	814		208			202			802			1402
161		1409	714		107			201			901			1502
162		1501	1508	815			108			101			801
163		1502	1409	714			107			201			901
164		1503	1310	613			106			301			101
165		1504	1211	512			105			401			1101
166		1505	1112	411			104			501			1201
167		1506	1013	310			103			601			1301
168		1507	914		209			102			701			1401
169		1508	815		108			101			801			1501
